"predicted_genus";"2008_n";"2009_n";"2010_n";"2011_n";"2012_n";"2013_n";"2014_n";"2015_n";"2016_n";"2017_n";"2018_n";"2019_n";"2020_n";"2021_n";"2008_pct";"2009_pct";"2010_pct";"2011_pct";"2012_pct";"2013_pct";"2014_pct";"2015_pct";"2016_pct";"2017_pct";"2018_pct";"2019_pct";"2020_pct";"2021_pct"
"Gypsophila";0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0.869565217391304;0;0
"Hedera";0;0;0;0;0;0;0;0;1;0;1;0;2;3;0;0;0;0;0;0;0;0;7.69230769230769;0;2;0;0.904977375565611;1.2396694214876
"Helichrysum";0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0.452488687782805;0.413223140495868
"Hemerocallis";0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0.452488687782805;0
"Heracleum";0;0;0;0;0;0;0;0;0;0;0;0;3;1;0;0;0;0;0;0;0;0;0;0;0;0;1.35746606334842;0.413223140495868
"Hydrangea";0;0;0;0;0;0;0;0;0;0;2;2;0;5;0;0;0;0;0;0;0;0;0;0;4;1.73913043478261;0;2.06611570247934
"Hylotelephium";0;0;0;0;0;0;0;0;0;0;0;1;2;3;0;0;0;0;0;0;0;0;0;0;0;0.869565217391304;0.904977375565611;1.2396694214876
"Hymenopappus";0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0.869565217391304;0;0
"Hypericum";0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0.413223140495868
"Leucanthemum";0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0.413223140495868
"Levisticum";0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0.869565217391304;0.452488687782805;0.413223140495868
"Limonium";0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;3.57142857142857;2;0;0;0
"Lobularia";0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0.452488687782805;0
"Lotus";0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0.413223140495868
"Lycopus";0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;3.57142857142857;0;0;0;0
"Lysimachia";0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0.452488687782805;0.413223140495868
"Mantisalca";0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0.869565217391304;0;0
"Matricaria";0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;7.69230769230769;0;0;0;0;0
"Melilotus";0;0;1;0;1;0;0;0;0;0;1;5;7;6;0;0;33.3333333333333;0;16.6666666666667;0;0;0;0;0;2;4.34782608695652;3.16742081447964;2.47933884297521
"Mentha";0;2;0;0;0;0;0;1;2;6;4;13;24;31;0;50;0;0;0;0;0;11.1111111111111;15.3846153846154;21.4285714285714;8;11.304347826087;10.8597285067873;12.8099173553719
"Mikania";0;0;0;0;0;0;0;0;0;0;0;0;2;3;0;0;0;0;0;0;0;0;0;0;0;0;0.904977375565611;1.2396694214876
"Monarda";0;0;0;0;0;0;0;0;0;0;0;1;2;2;0;0;0;0;0;0;0;0;0;0;0;0.869565217391304;0.904977375565611;0.826446280991736
"Oenanthe";0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0.452488687782805;0
"Origanum";0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0.452488687782805;0
"Parthenium";0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0.452488687782805;0
"Pastinaca";0;0;0;0;0;0;0;0;0;0;0;0;2;4;0;0;0;0;0;0;0;0;0;0;0;0;0.904977375565611;1.65289256198347
"Pentas";0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0
"Phedimus";1;0;0;0;0;0;0;0;0;0;0;0;0;0;50;0;0;0;0;0;0;0;0;0;0;0;0;0
"Photinia";0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0.452488687782805;0
"Pluchea";0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0.452488687782805;0
"Polytaenia";0;0;0;0;0;0;0;0;0;1;0;2;1;0;0;0;0;0;0;0;0;0;0;3.57142857142857;0;1.73913043478261;0.452488687782805;0
"Potentilla";0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0.869565217391304;0;0
"Ptelea";0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;3.57142857142857;0;0;0;0
"Pycnanthemum";0;0;0;0;1;0;0;2;1;2;10;7;34;34;0;0;0;0;16.6666666666667;0;0;22.2222222222222;7.69230769230769;7.14285714285714;20;6.08695652173913;15.3846153846154;14.0495867768595
"Reynoutria";0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0.869565217391304;0;0.413223140495868
"Rhus";0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;7.69230769230769;0;0;0;0;0.413223140495868
"Rubus";0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0.869565217391304;0;0.413223140495868
"Ruta";0;0;0;0;0;0;0;0;0;0;0;1;6;4;0;0;0;0;0;0;0;0;0;0;0;0.869565217391304;2.71493212669683;1.65289256198347
"Sambucus";0;0;0;0;0;0;1;0;0;0;0;4;2;1;0;0;0;0;0;0;12.5;0;0;0;0;3.47826086956522;0.904977375565611;0.413223140495868
"Sicyos";0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0.869565217391304;0;0
"Solidago";0;0;0;0;1;1;0;0;0;4;4;9;22;10;0;0;0;0;16.6666666666667;16.6666666666667;0;0;0;14.2857142857143;8;7.82608695652174;9.95475113122172;4.13223140495868
"Sorbaria";0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;2;0.869565217391304;0;0
"Spiraea";0;0;0;0;0;0;0;0;0;0;0;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0.869565217391304;0;0.826446280991736
"Succisella";0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;7.14285714285714;0;0;0;0
"Symphyotrichum";0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0.826446280991736
"Tagetes";0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0.413223140495868
"Tanacetum";0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0.452488687782805;0
"Veronica";0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;2;0.869565217391304;0;0
"Veronicastrum";0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0
"Visnaga";0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0.869565217391304;0;0
"Vitex";0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0.452488687782805;0
"Ziziphus";0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0.452488687782805;0
